boardID,S/N,Last 6 S/N,MAC,IP
1,27D355FE50553158342E3120FF17283B,17283B,2C:F7:F1:08:38:1C,192.168.1.101
2,41B1592C50553158342E3120FF180E34,180E34,2C:F7:F1:08:39:73,192.168.1.102
3,7CDB6B3050553158342E3120FF172807,172807,2C:F7:F1:08:39:6E,192.168.1.103
4,A73AFA0A50553158342E3120FF110A15,110A15,2C:F7:F1:08:39:75,192.168.1.104
5,5F8327D550553158342E3120FF160A3B,160A3B,2C:F7:F1:08:39:D8,192.168.1.105
6,E7C429C150553158342E3120FF151338,151338,2C:F7:F1:08:39:E7,192.168.1.106
7,D90F56A350593652322E3120FF010911,010911,2C:F7:F1:08:39:7C,192.168.1.107
8,751EE94D50553158342E3120FF110938,110938,2C:F7:F1:08:39:74,192.168.1.108
9,A0A9425450553158342E3120FF180E0B,180E0B,2C:F7:F1:08:3E:EB,192.168.1.109
10,77F8F7A450553158342E3120FF14301F,14301F,2C:F7:F1:08:3E:CE,192.168.1.110
11,9AC7440950553158342E3120FF14321F,14321F,2C:F7:F1:08:38:14,192.168.1.111
12,CDC4526A50553158342E3120FF17272F,17272F,2C:F7:F1:08:38:13,192.168.1.112
13,CAFD55E950553158342E3120FF121817,121817,2C:F7:F1:08:38:46,192.168.1.113
14,CD764A9F50553158342E3120FF19302A,19302A,2C:F7:F1:08:3E:EA,192.168.1.114
15,0BB05C6050553158342E3120FF15190F,15190F,2C:F7:F1:08:39:D0,192.168.1.115
16,F4A1B7AF50553158342E3120FF121A1B,121A1B,2C:F7:F1:08:38:1F,192.168.1.116
17,BA7C9B1250553158342E3120FF151238,151238,2C:F7:F1:08:38:1E,192.168.1.117
18,5F130CFE50553158342E3120FF172912,172912,2C:F7:F1:08:38:53,192.168.1.118